id,居住地,性別,年齡,年齡組,教育程度,職業,婚姻狀況,媒體習慣
1342,新北市,男,69,65歲以上,大學,退休,已婚,LINE、Facebook、YouTube、Instagram
1343,臺中市,男,36,35–44歲,專科,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram
1344,新北市,女,21,15–24歲,大學,技術工/勞工,未婚,LINE、Facebook、Instagram、TikTok
1345,臺中市,男,49,45–54歲,大學,家管,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Threads
1346,高雄市,女,75,65歲以上,大學,退休,未婚,LINE、Facebook
1347,臺南市,男,49,45–54歲,大學,事務人員,已婚,LINE、Facebook、YouTube、TikTok
1348,基隆市,女,78,65歲以上,大學,退休,未婚,LINE、Facebook、YouTube、Instagram
1349,桃園市,女,21,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Threads
1350,臺北市,女,61,55–64歲,大學,其他/待業,未婚,LINE、Facebook、YouTube、Instagram、TikTok
1351,嘉義市,女,29,25–34歲,高中(職),事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Telegram
1352,臺中市,女,54,45–54歲,國中,專業人員,已婚,LINE、Facebook、YouTube、TikTok、WeChat
1353,臺中市,女,38,35–44歲,高中(職),服務/銷售,未婚,LINE、Facebook、YouTube
1354,高雄市,男,30,25–34歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、X(Twitter)
1355,新北市,男,54,45–54歲,國中,專業人員,未婚,LINE、Facebook、YouTube、Instagram、Telegram
1356,臺南市,男,60,55–64歲,高中(職),退休,已婚,LINE、Facebook、YouTube、Instagram、WhatsApp
1357,彰化縣,男,19,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、X(Twitter)、Telegram
1358,臺北市,男,54,45–54歲,專科,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok
1359,桃園市,女,48,45–54歲,國小以下,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、小紅書、WeChat
1360,新北市,女,56,55–64歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、TikTok
1361,金門縣,男,46,45–54歲,高中(職),農林漁牧,已婚,LINE、Facebook、Instagram、小紅書
1362,臺北市,男,51,45–54歲,國中,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat
1363,桃園市,男,67,65歲以上,大學,技術/助理專業,已婚,LINE、Facebook
1364,嘉義縣,女,38,35–44歲,大學,家管,未婚,LINE、Facebook、Instagram、TikTok、WeChat、WhatsApp
1365,花蓮縣,男,35,35–44歲,高中(職),農林漁牧,已婚,LINE、Facebook、YouTube、Instagram、TikTok
1366,高雄市,女,54,45–54歲,大學,專業人員,未婚,LINE、Facebook、YouTube、Instagram、X(Twitter)
1367,高雄市,男,73,65歲以上,大學,退休,已婚,LINE、Facebook、YouTube、Instagram、Telegram
1368,新北市,女,68,65歲以上,大學,家管,未婚,LINE、Facebook、YouTube
1369,高雄市,女,69,65歲以上,專科,技術/助理專業,已婚,LINE、Facebook
1370,新北市,女,88,65歲以上,高中(職),退休,已婚,LINE、Facebook
1371,花蓮縣,男,52,45–54歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、WeChat
1372,臺中市,女,53,45–54歲,國中,專業人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok
1373,宜蘭縣,女,54,45–54歲,碩士以上,家管,未婚,LINE、Facebook、YouTube、WeChat
1374,新北市,男,36,35–44歲,高中(職),事務人員,未婚,LINE、Facebook、YouTube、TikTok
1375,桃園市,女,86,65歲以上,大學,退休,未婚,LINE、Facebook、YouTube、小紅書
1376,苗栗縣,女,56,55–64歲,高中(職),服務/銷售,未婚,LINE、Facebook、YouTube、TikTok
1377,新北市,男,58,55–64歲,國小以下,專業人員,已婚,LINE、Facebook、YouTube、Instagram
1378,新北市,男,60,55–64歲,大學,退休,已婚,LINE、Facebook、YouTube、WeChat
1379,臺中市,男,49,45–54歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、小紅書
1380,嘉義縣,男,29,25–34歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、小紅書、WeChat、Threads、Snapchat
1381,彰化縣,女,39,35–44歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok
1382,臺北市,女,31,25–34歲,大學,專業人員,已婚,LINE、Facebook、YouTube、Instagram
1383,新竹市,男,48,45–54歲,國中,家管,已婚,LINE、Instagram、小紅書、Threads
1384,高雄市,女,58,55–64歲,高中(職),服務/銷售,已婚,LINE、Facebook、TikTok
1385,花蓮縣,女,35,35–44歲,國中,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok
1386,基隆市,男,44,35–44歲,大學,專業人員,已婚,LINE、Facebook、Instagram、WeChat、LinkedIn
1387,屏東縣,男,37,35–44歲,國小以下,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、WeChat
1388,臺中市,男,15,15–24歲,大學,其他/待業,未婚,LINE、YouTube、Instagram、X(Twitter)
1389,南投縣,男,49,45–54歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WhatsApp
1390,臺中市,男,35,35–44歲,國中,事務人員,已婚,LINE、Facebook、YouTube、TikTok、WeChat、Threads
1391,高雄市,男,42,35–44歲,國小以下,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat
1392,高雄市,男,35,35–44歲,專科,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads、Telegram
1393,桃園市,女,86,65歲以上,大學,退休,未婚,LINE、Facebook、YouTube、Instagram
1394,新北市,男,32,25–34歲,國中,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
1395,新竹市,男,62,55–64歲,大學,退休,未婚,LINE、Facebook、小紅書
1396,高雄市,男,80,65歲以上,國中,退休,已婚,LINE、Facebook、Telegram
1397,高雄市,女,63,55–64歲,碩士以上,退休,未婚,LINE、Facebook、YouTube、Instagram、小紅書、WeChat
1398,彰化縣,女,52,45–54歲,專科,專業人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok
1399,臺南市,男,32,25–34歲,國中,事務人員,未婚,LINE、Facebook、YouTube、TikTok、X(Twitter)
1400,臺中市,女,72,65歲以上,高中(職),退休,已婚,LINE、Facebook、YouTube、Instagram、Threads
1401,新北市,女,59,55–64歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube
1402,臺中市,男,58,55–64歲,大學,家管,已婚,LINE、Facebook、TikTok
1403,高雄市,男,20,15–24歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads、Telegram、LinkedIn
1404,臺中市,女,41,35–44歲,大學,事務人員,已婚,LINE、Facebook、YouTube、Instagram
1405,基隆市,男,24,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Pinterest
1406,屏東縣,女,60,55–64歲,大學,事務人員,已婚,LINE、Facebook、YouTube、Instagram、Threads
1407,高雄市,女,31,25–34歲,大學,家管,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Pinterest
1408,臺南市,女,64,55–64歲,大學,退休,已婚,LINE、Facebook、YouTube、Instagram
1409,雲林縣,男,57,55–64歲,大學,事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok
1410,新北市,女,19,15–24歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)、WhatsApp、Tumblr
1411,新北市,男,50,45–54歲,高中(職),事務人員,已婚,LINE、Facebook、YouTube、Instagram、小紅書
1412,南投縣,男,31,25–34歲,國中,農林漁牧,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads
1413,臺南市,女,64,55–64歲,專科,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、Telegram
1414,基隆市,女,67,65歲以上,高中(職),退休,未婚,LINE、Facebook
1415,嘉義縣,女,78,65歲以上,高中(職),退休,已婚,LINE、Facebook、Instagram、TikTok
1416,高雄市,女,37,35–44歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok
1417,高雄市,女,66,65歲以上,碩士以上,退休,未婚,LINE、Facebook
1418,新竹縣,男,28,25–34歲,碩士以上,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、TikTok
1419,新北市,女,68,65歲以上,國小以下,退休,未婚,LINE、Facebook、Instagram
1420,臺南市,男,32,25–34歲,碩士以上,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok
1421,高雄市,女,67,65歲以上,大學,退休,已婚,LINE、Facebook、Instagram
1422,宜蘭縣,女,61,55–64歲,專科,退休,已婚,LINE、Facebook、YouTube、TikTok
1423,臺中市,男,65,65歲以上,高中(職),退休,已婚,LINE、Facebook、YouTube
1424,嘉義縣,女,36,35–44歲,高中(職),其他/待業,已婚,LINE、Facebook、YouTube、Instagram、X(Twitter)、Telegram
1425,高雄市,女,59,55–64歲,國小以下,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok
1426,新北市,女,18,15–24歲,大學,學生,未婚,LINE、Facebook、YouTube、Instagram、小紅書、X(Twitter)
1427,桃園市,女,57,55–64歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram
1428,臺中市,男,51,45–54歲,高中(職),事務人員,未婚,LINE、Facebook、YouTube、Instagram、小紅書
1429,新北市,男,57,55–64歲,高中(職),家管,已婚,LINE、Facebook、YouTube、Instagram
1430,臺中市,女,52,45–54歲,大學,技術工/勞工,已婚,LINE、Facebook、Instagram、TikTok、Threads、Telegram、Tumblr
1431,新北市,女,38,35–44歲,國小以下,事務人員,已婚,LINE、Facebook、YouTube、TikTok、X(Twitter)
1432,高雄市,男,30,25–34歲,專科,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、X(Twitter)、WhatsApp
1433,桃園市,男,71,65歲以上,碩士以上,服務/銷售,已婚,LINE、Facebook
1434,臺北市,女,58,55–64歲,碩士以上,家管,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
1435,桃園市,男,53,45–54歲,高中(職),技術工/勞工,已婚,LINE、YouTube、Instagram、TikTok
1436,基隆市,女,26,25–34歲,高中(職),技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads、X(Twitter)、Snapchat
1437,高雄市,男,58,55–64歲,碩士以上,技術工/勞工,已婚,LINE、Facebook、YouTube、TikTok、X(Twitter)、Telegram
1438,高雄市,男,93,65歲以上,大學,退休,未婚,LINE、Facebook
1439,高雄市,男,40,35–44歲,國中,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok
1440,高雄市,女,43,35–44歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、WeChat
1441,新北市,女,66,65歲以上,國小以下,退休,未婚,LINE、Facebook、Instagram、TikTok
1442,新北市,女,57,55–64歲,高中(職),家管,已婚,LINE、Facebook、YouTube、Instagram
1443,屏東縣,女,26,25–34歲,高中(職),專業人員,未婚,LINE、Facebook、YouTube、TikTok、X(Twitter)
1444,桃園市,男,16,15–24歲,大學,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
1445,桃園市,男,32,25–34歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat、X(Twitter)
1446,桃園市,男,80,65歲以上,專科,家管,未婚,LINE、Facebook、YouTube
1447,高雄市,女,82,65歲以上,大學,退休,已婚,LINE、Facebook、YouTube
1448,桃園市,女,89,65歲以上,高中(職),退休,未婚,LINE、Facebook
1449,臺北市,女,63,55–64歲,高中(職),專業人員,已婚,LINE、Facebook、YouTube
1450,桃園市,女,57,55–64歲,大學,其他/待業,未婚,LINE、Facebook、YouTube、Instagram、TikTok
1451,彰化縣,男,24,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Telegram
1452,臺南市,男,21,15–24歲,大學,學生,未婚,LINE、Facebook、Instagram、TikTok、小紅書、WeChat
1453,彰化縣,女,34,25–34歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)
1454,新北市,女,63,55–64歲,國小以下,事務人員,已婚,LINE、Facebook、YouTube、TikTok
1455,臺東縣,男,37,35–44歲,國小以下,技術工/勞工,未婚,LINE、Facebook、YouTube
1456,桃園市,女,56,55–64歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube
1457,新北市,男,83,65歲以上,國中,退休,已婚,LINE、Facebook、YouTube、Instagram
1458,臺北市,女,40,35–44歲,大學,技術/助理專業,已婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)、Telegram
1459,新竹縣,女,34,25–34歲,高中(職),技術/助理專業,已婚,LINE、Facebook、Instagram、TikTok、小紅書
1460,新竹市,男,15,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WhatsApp、Telegram、Snapchat
1461,高雄市,女,33,25–34歲,高中(職),專業人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok
1462,新北市,男,20,15–24歲,國中,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、Pinterest
1463,屏東縣,男,23,15–24歲,大學,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat
1464,嘉義縣,男,52,45–54歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、小紅書、X(Twitter)
1465,臺中市,女,65,65歲以上,高中(職),退休,已婚,LINE、Facebook、YouTube、TikTok
1466,嘉義縣,男,48,45–54歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、小紅書、Threads、Tumblr
1467,臺中市,男,22,15–24歲,大學,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Tumblr
1468,臺北市,男,51,45–54歲,國小以下,專業人員,未婚,LINE、Facebook、YouTube、Instagram、小紅書
1469,桃園市,女,50,45–54歲,大學,技術/助理專業,已婚,LINE、Facebook、YouTube、Instagram、Threads
1470,新北市,男,20,15–24歲,碩士以上,專業人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok
1471,高雄市,男,23,15–24歲,國中,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat、WhatsApp
1472,臺北市,女,22,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、TikTok
1473,彰化縣,女,31,25–34歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、WeChat、Threads、X(Twitter)、Telegram
1474,臺北市,男,59,55–64歲,國中,服務/銷售,未婚,LINE、Facebook、YouTube
1475,屏東縣,男,33,25–34歲,高中(職),技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
1476,新北市,女,61,55–64歲,專科,家管,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
1477,新竹市,女,33,25–34歲,大學,其他/待業,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、X(Twitter)
1478,臺北市,男,33,25–34歲,國小以下,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、LinkedIn
1479,新北市,男,79,65歲以上,國小以下,退休,已婚,LINE、Facebook、YouTube、小紅書
1480,彰化縣,女,45,45–54歲,碩士以上,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、小紅書、WeChat
1481,雲林縣,女,56,55–64歲,國中,農林漁牧,未婚,LINE、Facebook、YouTube
1482,新北市,女,30,25–34歲,專科,服務/銷售,未婚,LINE、Facebook、Instagram、TikTok
1483,臺中市,男,47,45–54歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube
1484,南投縣,女,48,45–54歲,高中(職),家管,已婚,LINE、Facebook、YouTube、Instagram
1485,彰化縣,女,74,65歲以上,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Threads
1486,臺南市,女,49,45–54歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、TikTok、Threads
1487,桃園市,女,49,45–54歲,高中(職),技術工/勞工,已婚,LINE、Facebook、Instagram
1488,新北市,女,36,35–44歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、Threads
1489,臺中市,男,40,35–44歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube
1490,金門縣,男,78,65歲以上,碩士以上,家管,已婚,LINE、Facebook、YouTube
1491,高雄市,女,65,65歲以上,高中(職),退休,未婚,LINE、Facebook
1492,桃園市,女,64,55–64歲,國小以下,服務/銷售,已婚,LINE、Facebook、Instagram
1493,新竹縣,男,59,55–64歲,大學,其他/待業,已婚,LINE、Facebook、Instagram、TikTok
1494,苗栗縣,男,16,15–24歲,大學,學生,未婚,LINE、Facebook、YouTube、Instagram、X(Twitter)、WhatsApp
1495,新北市,男,89,65歲以上,大學,退休,未婚,LINE、Facebook、Instagram
1496,高雄市,女,20,15–24歲,專科,技術工/勞工,未婚,LINE、Facebook、YouTube、TikTok、小紅書、X(Twitter)
1497,臺南市,男,68,65歲以上,國中,技術工/勞工,已婚,LINE、Facebook、Instagram、TikTok、WhatsApp
1498,南投縣,男,55,55–64歲,大學,事務人員,已婚,LINE、Facebook
1499,新北市,女,77,65歲以上,高中(職),服務/銷售,未婚,LINE、Facebook、YouTube
1500,新北市,女,73,65歲以上,高中(職),退休,已婚,LINE、Facebook、Instagram
1501,桃園市,女,33,25–34歲,高中(職),服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok
1502,宜蘭縣,男,29,25–34歲,大學,事務人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat、Pinterest
1503,臺中市,女,51,45–54歲,大學,技術/助理專業,已婚,LINE、Facebook、YouTube、Instagram、小紅書
1504,高雄市,男,45,45–54歲,專科,技術工/勞工,已婚,LINE、Facebook、YouTube、小紅書
1505,屏東縣,女,26,25–34歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、小紅書、WeChat、X(Twitter)
1506,臺中市,女,64,55–64歲,高中(職),家管,已婚,LINE、Facebook、YouTube、Instagram
1507,新北市,女,22,15–24歲,國中,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WhatsApp
1508,臺北市,女,56,55–64歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram
1509,嘉義市,女,43,35–44歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、小紅書
1510,高雄市,女,59,55–64歲,國中,技術工/勞工,未婚,LINE、Facebook、Instagram、TikTok
1511,高雄市,女,81,65歲以上,國小以下,退休,已婚,LINE、Facebook、YouTube、Instagram
1512,新竹縣,男,54,45–54歲,大學,專業人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok
1513,雲林縣,男,16,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram
1514,臺中市,女,40,35–44歲,大學,家管,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
1515,臺南市,女,50,45–54歲,國中,農林漁牧,已婚,LINE、Facebook、YouTube、Instagram、小紅書、X(Twitter)、Telegram
1516,臺北市,男,63,55–64歲,專科,退休,未婚,LINE、Facebook、YouTube、Instagram
1517,臺北市,男,26,25–34歲,大學,專業人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok
1518,臺中市,女,61,55–64歲,高中(職),事務人員,已婚,LINE、Facebook、YouTube、Instagram
1519,嘉義縣,男,53,45–54歲,國中,服務/銷售,已婚,LINE、Facebook、YouTube、TikTok、小紅書
1520,彰化縣,男,70,65歲以上,高中(職),退休,未婚,LINE、Facebook、Instagram
1521,高雄市,女,80,65歲以上,專科,退休,已婚,LINE、Facebook、YouTube、Instagram
1522,彰化縣,女,30,25–34歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、Threads
1523,新北市,女,46,45–54歲,高中(職),專業人員,已婚,LINE、Facebook、Instagram、TikTok、WeChat、Pinterest
1524,臺中市,女,65,65歲以上,碩士以上,退休,未婚,LINE、Facebook、WeChat、Threads
1525,臺北市,女,32,25–34歲,高中(職),服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、小紅書、X(Twitter)
1526,新北市,女,60,55–64歲,高中(職),退休,未婚,LINE、Facebook、YouTube、TikTok
1527,新北市,男,40,35–44歲,專科,技術工/勞工,已婚,LINE、Facebook、YouTube、Telegram
1528,雲林縣,女,25,25–34歲,國中,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat
1529,高雄市,男,61,55–64歲,高中(職),退休,未婚,LINE、Facebook、Instagram
1530,新竹市,女,64,55–64歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、X(Twitter)
1531,臺北市,女,50,45–54歲,碩士以上,家管,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads
1532,屏東縣,女,49,45–54歲,國中,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、WeChat
1533,新北市,男,92,65歲以上,碩士以上,退休,未婚,LINE、Facebook、Instagram
1534,新北市,男,17,15–24歲,國小以下,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Threads、X(Twitter)、Pinterest
1535,高雄市,女,48,45–54歲,國小以下,家管,已婚,LINE、Facebook、YouTube、Instagram、X(Twitter)
1536,新北市,男,57,55–64歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube
1537,臺北市,女,51,45–54歲,碩士以上,事務人員,未婚,LINE、Facebook、YouTube
1538,臺北市,女,21,15–24歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat、Pinterest
1539,臺中市,男,20,15–24歲,國中,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram
1540,宜蘭縣,男,38,35–44歲,高中(職),家管,未婚,LINE、Facebook、YouTube、Instagram、Threads
1541,桃園市,男,81,65歲以上,高中(職),退休,已婚,LINE、Facebook、Instagram
1542,臺南市,男,35,35–44歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat
1543,高雄市,男,71,65歲以上,國小以下,技術/助理專業,已婚,LINE、Facebook
1544,南投縣,男,25,25–34歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads、X(Twitter)、Telegram
1545,新北市,女,65,65歲以上,大學,退休,已婚,LINE、Facebook、YouTube、Threads、X(Twitter)
1546,臺中市,女,50,45–54歲,大學,管理/主管,未婚,LINE、Facebook、YouTube、Instagram、小紅書、Threads
1547,屏東縣,男,64,55–64歲,大學,家管,已婚,LINE、Facebook、Instagram
1548,高雄市,男,66,65歲以上,碩士以上,技術工/勞工,已婚,LINE、Facebook
1549,彰化縣,男,74,65歲以上,國小以下,退休,已婚,LINE、Facebook、YouTube
1550,臺中市,男,31,25–34歲,國中,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、小紅書、Threads
1551,臺中市,女,35,35–44歲,大學,家管,未婚,LINE、Facebook、YouTube、Instagram、TikTok
1552,新北市,女,53,45–54歲,國中,其他/待業,已婚,LINE、Facebook、YouTube、Instagram、小紅書
1553,臺中市,女,73,65歲以上,大學,退休,已婚,LINE、Facebook、YouTube、WeChat
1554,新北市,女,81,65歲以上,大學,退休,未婚,LINE、Facebook、Instagram
1555,彰化縣,男,58,55–64歲,國中,事務人員,未婚,LINE、Facebook
1556,新北市,女,52,45–54歲,高中(職),事務人員,未婚,LINE、Facebook、YouTube、TikTok、小紅書
1557,彰化縣,男,64,55–64歲,高中(職),事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
1558,臺南市,女,18,15–24歲,國中,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat
1559,高雄市,女,67,65歲以上,高中(職),退休,已婚,LINE、Facebook、YouTube、Instagram
1560,屏東縣,女,54,45–54歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube
1561,新北市,男,26,25–34歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、X(Twitter)、WhatsApp
1562,雲林縣,男,45,45–54歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok
1563,高雄市,女,29,25–34歲,國中,服務/銷售,未婚,LINE、Facebook、Instagram、TikTok、Threads、Pinterest
1564,嘉義縣,女,41,35–44歲,國小以下,家管,未婚,LINE、Facebook、YouTube、Instagram、WeChat、Telegram、Pinterest
1565,桃園市,女,65,65歲以上,國中,退休,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
1566,屏東縣,男,39,35–44歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok
1567,臺中市,男,46,45–54歲,高中(職),事務人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads
1568,臺南市,女,34,25–34歲,大學,其他/待業,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
1569,屏東縣,女,30,25–34歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram
1570,新北市,男,74,65歲以上,大學,退休,已婚,LINE、Facebook、Instagram
1571,基隆市,男,15,15–24歲,大學,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Telegram
1572,雲林縣,男,88,65歲以上,國小以下,服務/銷售,未婚,LINE、Facebook、YouTube
1573,臺北市,女,38,35–44歲,高中(職),技術/助理專業,已婚,LINE、Facebook、YouTube、Instagram、TikTok
1574,臺南市,女,51,45–54歲,專科,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、X(Twitter)
1575,高雄市,男,88,65歲以上,高中(職),退休,未婚,LINE、Facebook、Threads
1576,臺南市,男,54,45–54歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、TikTok、Threads
1577,新北市,男,59,55–64歲,大學,專業人員,已婚,LINE、Facebook、YouTube、Instagram
1578,新北市,男,71,65歲以上,高中(職),退休,已婚,LINE、Facebook、YouTube
1579,臺北市,女,80,65歲以上,大學,退休,已婚,LINE、Facebook、YouTube、Instagram、小紅書
1580,臺北市,男,55,55–64歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、TikTok
1581,臺中市,男,40,35–44歲,專科,事務人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok
1582,新北市,女,42,35–44歲,大學,專業人員,未婚,LINE、Facebook、YouTube、Instagram、小紅書
1583,高雄市,女,75,65歲以上,高中(職),退休,已婚,LINE、Facebook、Instagram
1584,苗栗縣,男,78,65歲以上,高中(職),退休,已婚,LINE、Facebook、YouTube
1585,宜蘭縣,女,27,25–34歲,國小以下,農林漁牧,已婚,LINE、Facebook、YouTube、TikTok、小紅書、WeChat、Threads、X(Twitter)
1586,宜蘭縣,男,22,15–24歲,大學,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok
1587,新北市,男,67,65歲以上,高中(職),家管,已婚,LINE、Facebook、YouTube
1588,新北市,男,43,35–44歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok
1589,桃園市,女,63,55–64歲,專科,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram
1590,臺南市,女,36,35–44歲,高中(職),家管,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Telegram
1591,新北市,女,22,15–24歲,國小以下,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
1592,桃園市,女,72,65歲以上,專科,退休,未婚,LINE、Facebook、YouTube、小紅書
1593,雲林縣,女,21,15–24歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、TikTok、Threads、WhatsApp、Telegram
1594,屏東縣,女,58,55–64歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、小紅書
1595,新北市,男,62,55–64歲,高中(職),退休,已婚,LINE、Facebook、YouTube、小紅書、WeChat
